params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=3, G=10, K=3",0.9416667222976685,0.9166666865348816,0.8916667103767395,0.9083333611488342,0.9416667222976685,0.9413152859471334,0.9157142857142857,0.8901998710509349,0.908042328042328,0.9416133792424987,0.9200000405311585,0.019436514357549735,0.919377029999436,0.019844092673373115,32.0
"N=5, G=3, K=5",0.9416667222976685,0.9250000715255737,0.9416667222976685,0.8916667103767395,0.8916667103767395,0.9414814814814816,0.9249314875974984,0.9414814814814816,0.8910141024732477,0.8901998710509349,0.9183333873748779,0.02260777317229391,0.9178216848169288,0.0230292523492668,35.0
"N=4, G=10, K=5",0.9333333969116211,0.9416667222976685,0.9000000357627869,0.9000000357627869,0.9166666865348816,0.9333333333333333,0.9416133792424987,0.8992327365728899,0.9,0.9165023936919178,0.918333375453949,0.01699674238832818,0.918136368568128,0.01715262551113305,36.0
"N=5, G=50, K=5",0.9500000476837158,0.9250000715255737,0.8916667103767395,0.9166666865348816,0.9083333611488342,0.9497737556561087,0.9249314875974984,0.89193087589715,0.9160272804774083,0.908042328042328,0.918333375453949,0.019293066791023186,0.9181411455340985,0.01918417860175727,36.0
"N=4, G=20, K=3",0.9333333969116211,0.9083333611488342,0.9333333969116211,0.9000000357627869,0.9083333611488342,0.9328218243819266,0.9084039498564326,0.9332019149535342,0.8988571428571428,0.9077811636312098,0.9166667103767395,0.013944348973687076,0.9162131991360493,0.014126423357013583,38.0
"N=6, G=20, K=5",0.9333333969116211,0.9166666865348816,0.9250000715255737,0.8916667103767395,0.9166666865348816,0.9332019149535342,0.916289592760181,0.925057777155263,0.8906403589999289,0.9165023936919178,0.9166667103767395,0.013944341849582145,0.916338407512165,0.014288626679163374,38.0
"N=3, G=10, K=5",0.9166666865348816,0.9333333969116211,0.9250000715255737,0.9166666865348816,0.8916667103767395,0.9160272804774083,0.9332019149535342,0.9251414204902577,0.9165023936919178,0.8915677043074977,0.9166667103767395,0.013944341849582145,0.9164881427841232,0.013967607140894716,38.0
"N=9, G=10, K=5",0.9500000476837158,0.9583333730697632,0.9333333969116211,0.8416666984558105,0.9000000357627869,0.9499014362151506,0.9582952708874991,0.9333333333333333,0.8415220293724966,0.8998028724303013,0.9166667103767395,0.04249183551430494,0.9165709884477563,0.04253545973092165,38.0
"N=8, G=5, K=5",0.9250000715255737,0.9416667222976685,0.9333333969116211,0.8750000596046448,0.9000000357627869,0.9245482247891715,0.9416133792424987,0.9332019149535342,0.8738157988460717,0.8988571428571428,0.915000057220459,0.024381235037093052,0.9144072921376838,0.024842399270911676,42.0
"N=9, G=10, K=3",0.9333333969116211,0.9250000715255737,0.9583333730697632,0.8666667342185974,0.8916667103767395,0.9328218243819266,0.9247619047619047,0.9583654317529239,0.8656436487638535,0.8913227513227514,0.915000057220459,0.03223179511029813,0.9145831121966721,0.03252465346491964,42.0
"N=8, G=10, K=5",0.9500000476837158,0.9000000357627869,0.9166666865348816,0.8833333849906921,0.9250000715255737,0.9499014362151506,0.9,0.9165023936919178,0.8828054298642535,0.9247619047619047,0.91500004529953,0.022607768778186238,0.9147942329066453,0.022702162306741606,44.0
"N=5, G=10, K=5",0.9500000476837158,0.9500000476837158,0.9250000715255737,0.8750000596046448,0.8666667342185974,0.9499014362151506,0.95,0.9247619047619047,0.8746031746031746,0.8656436487638535,0.9133333921432495,0.03597838242675208,0.9129820328688167,0.03629324175996268,45.0
"N=4, G=5, K=5",0.9000000357627869,0.9250000715255737,0.9166666865348816,0.9000000357627869,0.9250000715255737,0.8988571428571428,0.9247619047619047,0.9160272804774083,0.8992327365728899,0.9247619047619047,0.9133333802223206,0.011303897132027708,0.91272819388625,0.011619275295494806,46.0
"N=7, G=5, K=5",0.9333333969116211,0.9333333969116211,0.9250000715255737,0.8750000596046448,0.8916667103767395,0.9328218243819266,0.9332019149535342,0.9247619047619047,0.8738157988460717,0.8915677043074977,0.91166672706604,0.02392117225040714,0.9112338294501869,0.024159936340616125,47.0
