params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=5, G=50, K=3",0.8299999833106995,0.8050000071525574,0.8349999785423279,0.8799999952316284,0.7999999523162842,0.8295040226985796,0.8051796930845159,0.835352225906944,0.8802961705338614,0.7997339208116203,0.8299999833106995,0.028460505308173626,0.8300132066071043,0.02860307465555933,64.0
"N=2, G=3, K=5",0.824999988079071,0.7749999761581421,0.8299999833106995,0.8799999952316284,0.8299999833106995,0.8252151880582429,0.7750459885234322,0.8301922407425251,0.8803070035460994,0.8310297489581676,0.8279999852180481,0.033256584218279726,0.8283580339656934,0.033350410748903325,65.0
"N=6, G=50, K=3",0.8499999642372131,0.7849999666213989,0.8399999737739563,0.8449999690055847,0.8050000071525574,0.8492649327613772,0.7848757434154631,0.8391844227473154,0.8447142705216218,0.8047181439816228,0.8249999761581421,0.02549509195704058,0.82455150268548,0.02529403555621239,66.0
"N=2, G=20, K=5",0.824999988079071,0.7849999666213989,0.8349999785423279,0.824999988079071,0.8549999594688416,0.8242807017715308,0.7857088890230017,0.8344389113885294,0.8251409646067539,0.8546454886558342,0.8249999761581421,0.022803507665557925,0.82484299108913,0.02241496575782294,66.0
"N=4, G=50, K=5",0.8449999690055847,0.7949999570846558,0.8149999976158142,0.8399999737739563,0.8199999928474426,0.8447282676284044,0.794803374906804,0.8152037225659957,0.8403991528185076,0.8211069394963613,0.8229999780654907,0.01805547135293331,0.8232482914832147,0.01807736250770458,68.0
"N=4, G=10, K=3",0.824999988079071,0.7749999761581421,0.8399999737739563,0.8449999690055847,0.8100000023841858,0.8233797316791126,0.7746547133801366,0.8402829651254063,0.8441214480388672,0.809929539758487,0.818999981880188,0.025179353442510384,0.8184736795964019,0.025102296445681134,69.0
"N=2, G=10, K=5",0.85999995470047,0.7549999952316284,0.8199999928474426,0.85999995470047,0.7999999523162842,0.8599639578973206,0.7538814102564102,0.8184448848495239,0.8606299590326418,0.7984455470743549,0.818999969959259,0.03954742717018811,0.8182731518220503,0.040178805886687964,70.0
"N=3, G=20, K=3",0.8299999833106995,0.73499995470047,0.8349999785423279,0.85999995470047,0.7999999523162842,0.8272825706978714,0.735057938045309,0.8361212407381783,0.8580419235737297,0.7980942416686301,0.8119999647140503,0.04296510720087889,0.8109195829447436,0.042527319350735684,71.0
"N=3, G=50, K=3",0.7699999809265137,0.7849999666213989,0.8299999833106995,0.8349999785423279,0.824999988079071,0.7693249005864783,0.7862970569034925,0.8293917293233082,0.834828194028194,0.8244050022081937,0.8089999794960022,0.026343883129431554,0.8088493766099333,0.026113812537718297,72.0
"N=2, G=5, K=5",0.7749999761581421,0.8349999785423279,0.7999999523162842,0.8499999642372131,0.7799999713897705,0.7746817671809256,0.8351542169414509,0.800047014494076,0.8494315301095327,0.7798129984051037,0.8079999685287476,0.029765751379352022,0.8078255054262178,0.029737628078558186,73.0
"N=2, G=10, K=3",0.8399999737739563,0.7249999642372131,0.824999988079071,0.8299999833106995,0.8100000023841858,0.8405270308924484,0.7230700365032768,0.8249180662826643,0.8298284808381584,0.8089268123317818,0.8059999823570252,0.04164133229183019,0.8054540853696659,0.042431734716490414,74.0
"N=2, G=50, K=3",0.7849999666213989,0.7649999856948853,0.8449999690055847,0.8349999785423279,0.7999999523162842,0.7847122197468156,0.7660912384716733,0.8451287789363237,0.8356851166049444,0.79897311827957,0.8059999704360962,0.030066591043936167,0.8061180944078654,0.030024835250161218,75.0
"N=3, G=50, K=5",0.8199999928474426,0.7299999594688416,0.7999999523162842,0.8549999594688416,0.7849999666213989,0.8199881458273311,0.7309270813168989,0.7997155140430726,0.8546617156525045,0.7835953728476366,0.7979999661445618,0.041303755892370654,0.7977775659374886,0.04099510674592495,76.0
"N=3, G=20, K=5",0.8100000023841858,0.75,0.8199999928474426,0.8349999785423279,0.7699999809265137,0.8073084083589146,0.7551617136316993,0.8199617885454709,0.8339915458937199,0.7694654213383637,0.796999990940094,0.0318747521783522,0.7971777755536337,0.03003437594251185,77.0
"N=2, G=20, K=3",0.7949999570846558,0.7649999856948853,0.8050000071525574,0.824999988079071,0.7949999570846558,0.795403345595083,0.765557894736842,0.8038106109656767,0.8244904913880587,0.7952150769278977,0.7969999790191651,0.019390723069142492,0.7968954839227116,0.01895467308856706,78.0
"N=2, G=50, K=5",0.7949999570846558,0.7849999666213989,0.8050000071525574,0.7949999570846558,0.8050000071525574,0.7953171867722404,0.7854526942058843,0.8053008766914428,0.7949461645309438,0.8047726450888968,0.7969999790191651,0.0074833331249345636,0.7971579134578817,0.00734280945987139,78.0
"N=1, G=3, K=5",0.7549999952316284,0.675000011920929,0.824999988079071,0.8650000095367432,0.8199999928474426,0.7543291315962574,0.6769605766401883,0.8218263886420806,0.8671059831294018,0.8159671614934773,0.7879999995231628,0.06660329984216858,0.7872378483002811,0.06579471073043981,80.0
"N=1, G=50, K=5",0.7450000047683716,0.75,0.8199999928474426,0.8349999785423279,0.7749999761581421,0.7441071886250387,0.7512115384615384,0.8202310584365996,0.8345628798503975,0.7732050073587625,0.7849999904632569,0.0364691580624556,0.7846635345464673,0.036469561278721294,81.0
"N=2, G=5, K=3",0.7549999952316284,0.7199999690055847,0.8399999737739563,0.8100000023841858,0.7999999523162842,0.7552434867608331,0.7210039590125757,0.8397175605191909,0.8110218532898946,0.8006449906052552,0.7849999785423278,0.04242640715217572,0.7855263700375499,0.04217931252162673,82.0
"N=1, G=5, K=5",0.7799999713897705,0.7299999594688416,0.7899999618530273,0.7949999570846558,0.7999999523162842,0.7794306553911204,0.7284430752634637,0.7900110060714723,0.7948180865465357,0.7979021602920343,0.7789999604225158,0.025377153897128774,0.7781209967129253,0.025616676792252765,83.0
"N=1, G=50, K=3",0.7749999761581421,0.7400000095367432,0.8199999928474426,0.7799999713897705,0.75,0.7752171462708329,0.7394789405123752,0.8190359438712579,0.7813900181365773,0.7481611065429835,0.7729999899864197,0.02785677010109012,0.7726566310668053,0.028052304063147657,84.0
"N=1, G=3, K=3",0.8149999976158142,0.6850000023841858,0.8549999594688416,0.7999999523162842,0.7099999785423279,0.8140449385149715,0.6856823073167742,0.8542741728341966,0.7994782608695652,0.7063106279968825,0.7729999780654907,0.06469929344552339,0.771958061506478,0.06489637903739846,85.0
"N=1, G=20, K=5",0.7649999856948853,0.6949999928474426,0.7849999666213989,0.8199999928474426,0.7649999856948853,0.7652256863315408,0.6939413137995518,0.7851437689969606,0.8196533082757687,0.7667520684220566,0.7659999847412109,0.040792153735788525,0.7661432291651756,0.04108205991154326,86.0
"N=1, G=20, K=3",0.7649999856948853,0.7549999952316284,0.7649999856948853,0.7599999904632568,0.7699999809265137,0.7676057656403203,0.7549209983749441,0.7674470447044703,0.7606828704685181,0.7665549488091624,0.7629999876022339,0.005099014650788836,0.7634423255994831,0.004965642790544034,87.0
"N=1, G=10, K=5",0.75,0.7099999785423279,0.8199999928474426,0.7749999761581421,0.7549999952316284,0.7499021656534954,0.7094181138748478,0.8187484206614641,0.7756806645079486,0.753881815334681,0.7619999885559082,0.035860844520927256,0.7615262360064874,0.03573104765874058,88.0
"N=1, G=5, K=3",0.7749999761581421,0.675000011920929,0.7749999761581421,0.8149999976158142,0.7599999904632568,0.7767211192320279,0.6778668510414174,0.7736477621180482,0.8161526190765176,0.759673628619037,0.7599999904632568,0.04626012598485025,0.7608123960174096,0.04552281759302806,89.0
"N=1, G=10, K=3",0.7949999570846558,0.699999988079071,0.7699999809265137,0.7749999761581421,0.7249999642372131,0.7953709495488104,0.6990863123993559,0.7703821238779796,0.7757117560255778,0.7263117179550642,0.7529999732971191,0.03501427698498418,0.7533725719613577,0.0353030183350392,90.0
